question,category
solve the quadratic equation x squared plus 5x plus 6,STEM
find the derivative of x cubed plus 2x,STEM
what is the integral of sin x dx,STEM
calculate the area of a circle with radius 7,STEM
factor the polynomial x squared minus 9,STEM
solve the system of linear equations for x and y,STEM
what is the slope of the line through two points,STEM
prove the pythagorean theorem,STEM
calculate the standard deviation of a dataset,STEM
find the limit as x approaches zero,STEM
what is the formula for kinetic energy,STEM
explain newton's second law of motion,STEM
calculate the velocity of a falling object,STEM
what is ohm's law in physics,STEM
balance the chemical equation for combustion of methane,STEM
what is the molecular structure of water,STEM
explain the periodic table of elements,STEM
what is the difference between an acid and a base,STEM
write a python function to sort a list,STEM
explain how a binary search algorithm works,STEM
what is recursion in computer science,STEM
debug a segmentation fault in c code,STEM
explain object oriented programming concepts,STEM
what is the time complexity of merge sort,STEM
how does dna replication work in cells,STEM
explain the process of photosynthesis,STEM
what is mitosis in biology,STEM
describe the structure of a neuron,STEM
calculate the molar mass of glucose,STEM
what is the law of conservation of energy,STEM
explain quantum mechanics for beginners,STEM
how do you compute the determinant of a matrix,STEM
what is a derivative in calculus,STEM
solve a differential equation step by step,STEM
explain electromagnetic induction,STEM
what is hash table data structure,STEM
how does machine learning gradient descent work,STEM
explain the central limit theorem,STEM
what is the chain rule in calculus,STEM
how do transistors work in electronics,STEM
discuss the causes of world war one,HUMANITIES
write an essay about shakespeare's hamlet,HUMANITIES
analyze the themes in the great gatsby,HUMANITIES
explain the french revolution and its impact,HUMANITIES
who was abraham lincoln and what did he accomplish,HUMANITIES
discuss the renaissance period in europe,HUMANITIES
what was the cold war about,HUMANITIES
explain the civil rights movement in america,HUMANITIES
analyze the rhetoric in martin luther king's speech,HUMANITIES
write a literary analysis of pride and prejudice,HUMANITIES
discuss the role of women in ancient greece,HUMANITIES
explain the philosophy of socrates,HUMANITIES
compare and contrast plato and aristotle,HUMANITIES
what is existentialism in philosophy,HUMANITIES
analyze the imagery in a poem by emily dickinson,HUMANITIES
discuss the symbolism in to kill a mockingbird,HUMANITIES
write a thesis statement for a history paper,HUMANITIES
explain the impact of the industrial revolution on society,HUMANITIES
analyze the character development in a novel,HUMANITIES
discuss the cultural impact of the harlem renaissance,HUMANITIES
explain the meaning of a sonnet by shakespeare,HUMANITIES
what are the main themes of the odyssey,HUMANITIES
write a persuasive essay about climate policy,HUMANITIES
analyze the use of metaphor in modern poetry,HUMANITIES
discuss the founding fathers and the constitution,HUMANITIES
explain the rise and fall of the roman empire,HUMANITIES
what was the significance of the magna carta,HUMANITIES
analyze the narrative voice in a short story,HUMANITIES
discuss postcolonial literature themes,HUMANITIES
explain the origins of greek mythology,HUMANITIES
write a compare and contrast essay on two characters,HUMANITIES
discuss the ethics of utilitarianism,HUMANITIES
analyze a primary source from the american revolution,HUMANITIES
explain the major schools of art history,HUMANITIES
what was the enlightenment era about,HUMANITIES
discuss feminist literary criticism,HUMANITIES
analyze the rhetorical strategies in a political speech,HUMANITIES
write an essay on the meaning of justice,HUMANITIES
explain the historical context of the spanish civil war,HUMANITIES
discuss the cultural significance of folk tales,HUMANITIES
